date,weekday,block,room,start_time,end_time,order,full_name,title,mentor,field
2026-08-07,Friday,F1,32-124,10:04 AM,10:20 AM,5,Yernar Doskhan,Vibration Mitigation for Atomic-Resolution Imaging in Scanning Four-Probe Microscopy,Prof. Jenny Hoffman,Physics
2026-08-07,Friday,F1,32-124,10:20 AM,10:36 AM,6,Haya Mekdash,Development of a novel assay to measure radiation sensitivity of tumor cells,Dr. David T. Miyamoto,Biology & Medicine
2026-08-07,Friday,F1,32-141,9:00 AM,9:16 AM,1,Abigail Qi,Optimization of a Yeast-Based High-Throughput Screening Platform to Identify PfPDEγ Inhibitor Candidates,Prof. Charles Hoffman,Biology & Medicine
2026-08-07,Friday,F1,32-141,9:16 AM,9:32 AM,2,Luke Itomura,Yeast-Based High-Throughput Screening for _Plasmodium falciparum_ PDEα Inhibitor Discovery,Prof. Charles Hoffman,Biology & Medicine
2026-08-07,Friday,F1,32-141,9:32 AM,9:48 AM,3,Alexis Cho,Interactions of lipid droplets and Them1-containing condensates to regulate metabolism,"Prof. Susan Hagen, Dr. Xu Xu",Biology & Medicine
2026-08-07,Friday,F1,32-141,9:48 AM,10:04 AM,4,Hannah Thomas,The Role of Them1 in Metabolic Gene Regulation,"Prof. Susan Hagen, Dr. Xu Xu",Biology & Medicine
2026-08-07,Friday,F1,32-141,10:04 AM,10:20 AM,5,Logan Duran,Effects of material and surface chemistry in heat exchanger,Prof. Koroush Shirvan,Engineering
2026-08-07,Friday,F1,32-141,10:20 AM,10:36 AM,6,Ahmed Sultan,Characterizing Myo15-Cre Recombination in Cochlear Hair Cells to Validate Disease Models for Usher Syndrome Type 1F Gene Therapy,Dr. Artur A. Indzhykulian,Biology & Medicine
2026-08-07,Friday,F1,32-155,9:00 AM,9:16 AM,1,Sowmya Sankaran,The Talking Risk Calculator: An Agentic Pipeline for Multi-Factor Cancer Risk Assessment,"Dr. Cong Liu, Dr. Kamalakkannan Ravi",Computer Science & AI
2026-08-07,Friday,F1,32-155,9:16 AM,9:32 AM,2,Tanay Arora,AutoOnboarding Agentic LLMs,"Dr. Cong Liu, Dr. Kamalakkannan Ravi",Computer Science & AI
2026-08-07,Friday,F1,32-155,9:32 AM,9:48 AM,3,Izzy Craciun,Diffusion and Retention of Drug Carriers and Fluorescent Tag Molecules Through Cartilage Tissue for Applications to Osteoarthritis Therapeutics,Prof. Ambika Bajpayee,Biology & Medicine
2026-08-07,Friday,F1,32-155,9:48 AM,10:04 AM,4,Karim Mrad,Strategic Use of the KR Alpha Synuclein Mutant (G14R + E46K) to Develop Experimental Models of Parkinson's Disease,Prof. Ulf Dettmer,Biology & Medicine
2026-08-07,Friday,F1,32-155,10:04 AM,10:20 AM,5,Lucia Chen,Understanding the Rules of Gene Perturbation Responses,Dr. Sumaiya Nazeen,Biology & Medicine
2026-08-07,Friday,F1,32-155,10:20 AM,10:36 AM,6,Yoon Seo Pyo,Forecasting Seizure Spread in Epilepsy Patients Using Deep Learning Models of Electroencephalographic Activity,Vighnesh Subramaniam,Neuroscience & Psychology
2026-08-07,Friday,F2,32-124,11:00 AM,11:16 AM,1,Raquel Gomez Junco Lobo,Rational Minigene Design Toward AAV Gene Therapy for Bainbridge-Ropers Syndrome,Prof. Fengfeng Bei,Biology & Medicine
2026-08-07,Friday,F2,32-124,11:16 AM,11:32 AM,2,Matthew Lo,Immunological Modeling of Anti-Idiotypic Network Dynamics to Explain Neonatal Tolerance and Adult Responsiveness,Prof. James Michaelson,Biology & Medicine
2026-08-07,Friday,F2,32-124,11:32 AM,11:48 AM,3,Sarah Park,The Mitotic Basis of the Human Mind,Prof. James Michaelson,Biology & Medicine
2026-08-07,Friday,F2,32-124,11:48 AM,12:04 PM,4,Ruchika Ramachandran,Investigating the Role of Alternative Polyadenylation in Obesity-Induced Cardiac Endothelial Inflammation,Dr. Basak Icli,Biology & Medicine
2026-08-07,Friday,F2,32-141,11:00 AM,11:16 AM,1,Annika Chadha,Reproducing the Energy Landscape of Nanoparticle-Induced Lipid Membrane Deformation,"Prof. Maggie Qi, Shu Yang",Chemistry & Materials
2026-08-07,Friday,F2,32-141,11:16 AM,11:32 AM,2,Dex Theisen,Understanding the Influence of Receptor Transport on Nanoparticle-Cell-Membrane Interactions,"Prof. Maggie Qi, Shu Yang",Chemistry & Materials
2026-08-07,Friday,F2,32-141,11:32 AM,11:48 AM,3,Karl Chu,Evaluating Dyadic Foraging Optimization Through the Marginal Value Theorem,Prof. Jeremy Wolfe,Neuroscience & Psychology
2026-08-07,Friday,F2,32-141,11:48 AM,12:04 PM,4,Selene Manzo,Frog Search: A New Way to Measure Guidance by Color in Visual Search,Prof. Jeremy Wolfe,Neuroscience & Psychology
2026-08-07,Friday,F2,32-155,11:00 AM,11:16 AM,1,Avery Wang,Navier–Stokes Characteristic Boundary Conditions for Limited-Area Numerical Weather Prediction,"Prof. Peter Lu, Oreoluwa Alao","Earth, Ocean & Climate"
2026-08-07,Friday,F2,32-155,11:16 AM,11:32 AM,2,Ngawang Namgyal,W-Flow: Continuous-variable Quantum State Tomography via Flow-based Generative Modeling,"Prof. Peter Lu, Oreoluwa Alao",Physics
